"Class","FriendlyName","Status","Problem","InstanceId"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C5A\64"
"System","Qualcomm(R) Analog-to-Digital Converter Device","Error","CM_PROB_FAILED_START","ACPI\QCOM0C11\0"
"System","Qualcomm(R) Bus Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C16\F"
"System","Qualcomm(R) Secure Processor Subsystem Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C8D\2&DABA3FF&0"
"System","Qualcomm Modem skin Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF9&SUBSYS_CRD08380&REV_0100\0"
"System","Qualcomm Fan EC Interface Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0D05\0"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0CBF\1"
"CDROM","Microsoft Virtual DVD-ROM","Unknown","CM_PROB_PHANTOM","SCSI\CDROM&VEN_MSFT&PROD_VIRTUAL_DVD-ROM\2&1F4ADFFE&0&000001"
"CDROM","Microsoft Virtual DVD-ROM","Unknown","CM_PROB_PHANTOM","SCSI\CDROM&VEN_MSFT&PROD_VIRTUAL_DVD-ROM\2&1F4ADFFE&0&000002"
"HIDClass","HID Button over Interrupt Driver","Error","CM_PROB_FAILED_START","ACPI\ACPI0011\0"
"System","Qualcomm NSP limits Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF8&SUBSYS_CRD08380&REV_0100\0"
"WPD","Utility","Unknown","CM_PROB_PHANTOM","SWD\WPDBUSENUM\{AC2B8209-11B3-11F1-8AB6-C51314909589}#000000201EE00000"
"System","Qualcomm Audio DSP Subsystem Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C1B\2&DABA3FF&0"
"SCSIAdapter","USB Attached SCSI (UAS) Mass Storage Device","Unknown","CM_PROB_PHANTOM","USB\VID_1058&PID_264F\MSFT30323430354A32345A3030384B"
"System","Qualcomm GPU limits Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF7&SUBSYS_CRD08380&REV_0100\0"
"Display","Qualcomm(R) Adreno(TM) X1-45 GPU","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0D17&SUBSYS_CRD08380&REV_002F\0"
"System","Generic SCSI Enclosure Device","Unknown","CM_PROB_PHANTOM","SCSI\ENCLOSURE&VEN_WD&PROD_SES_DEVICE\6&18BA9095&0&000001"
"WPD","RUFUS_BOOT","Unknown","CM_PROB_PHANTOM","SWD\WPDBUSENUM\{493D2B24-59AC-11F1-8ACE-F5E3A4CD7B2E}#0000000729AF5600"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C91\0"
"Sensor","Qualcomm Human Presence Sensor","Error","CM_PROB_FAILED_ADD","ACPI\QCOM06D9\2&DABA3FF&0"
"System","Qualcomm(R) Compute DSP Subsystem Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0CB0\2&DABA3FF&0"
"System","Qualcomm CPU DCVS Cluster 1 Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF5&SUBSYS_CRD08380&REV_0100\0"
"System","Qualcomm(R) EVA Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0CF1\1E"
"System","Qualcomm CPU DCVS Cluster 0 Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF4&SUBSYS_CRD08380&REV_0100\0"
"Camera","Qualcomm(R) Spectra(TM) 695 ISP Camera Platform Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C32\1B"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C58\0"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C58\1"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C59\0"
"System","Qualcomm Temperature Sensor Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C59\1"
"DiskDrive","WD My Passport 264F SCSI Disk Device","Unknown","CM_PROB_PHANTOM","SCSI\DISK&VEN_WD&PROD_MY_PASSPORT_264F\6&18BA9095&0&000000"
"System","Qualcomm CPU DCVS Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF3&SUBSYS_CRD08380&REV_0100\0"
"SCSIAdapter","Microsoft VHD Loopback Controller","Unknown","CM_PROB_PHANTOM","{8E7BD593-6E6C-4C52-86A6-77175494DD8E}\MSVHDHBA\1&3030E83&0&01"
"System","Qualcomm WLAN Limits Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CFC&SUBSYS_CRD08380&REV_0100\0"
"Monitor","Integrated Monitor (MNE007QS3-A)","Unknown","CM_PROB_PHANTOM","DISPLAY\CSW1458\3&CC8D879&0&UID0"
"WPD","Ventoy","Unknown","CM_PROB_PHANTOM","SWD\WPDBUSENUM\{AC2B8209-11B3-11F1-8AB6-C51314909589}#0000000000100000"
"System","Qualcomm(R) Bus Device","Error","CM_PROB_FAILED_ADD","ACPI\QCOM0C16\16"
"System","Qualcomm CPU Core parking Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CF2&SUBSYS_CRD08380&REV_0100\0"
"SoftwareComponent","Qualcomm(R) Display Services","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\{480B97A2-BA58-47C4-9979-BC8D922CC830}#QCDPPSLIBRARY&3&CC8D879&0"
"System","Qualcomm Modem BCL Policy Device","Error","CM_PROB_FAILED_ADD","ACPI\VEN_QCOM&DEV_0CFB&SUBSYS_CRD08380&REV_0100\0"
"WPD","VTOYEFI","Unknown","CM_PROB_PHANTOM","SWD\WPDBUSENUM\{AC2B8209-11B3-11F1-8AB6-C51314909589}#000000201CDB4000"
